2012-08-01 15:49 main ERROR- Can't find category for keyword:19290
2012-08-01 15:49 main ERROR- Can't find category for keyword:39133
2012-08-01 15:49 main ERROR- Can't find category for keyword:53529
2012-08-01 15:49 main ERROR- Can't find category for keyword:8160
2012-08-01 15:49 main ERROR- Can't find category for keyword:44964
2012-08-01 15:49 main ERROR- Can't find category for keyword:44572
2012-08-01 15:49 main ERROR- Can't find category for keyword:44334
2012-08-01 15:49 main ERROR- Can't find category for keyword:28633
2012-08-01 15:49 main ERROR- Can't find category for keyword:58223
2012-08-01 15:49 main ERROR- Can't find category for keyword:12240
2012-08-01 15:49 main ERROR- Can't find category for keyword:29150
2012-08-01 15:49 main ERROR- Can't find category for keyword:46021
2012-08-01 15:49 main ERROR- Can't find category for keyword:46546
2012-08-01 15:49 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 15:50 main INFO- Begin to dump keywordMap....
2012-08-01 15:50 main INFO- Mongo not exist ,try to build one new connection！
2012-08-01 15:50 main INFO- KeywordDump finished ,dump size:22992
2012-08-01 15:50 main ERROR- Can't find category for keyword:38
2012-08-01 16:00 main ERROR- Can't find category for keyword:36
2012-08-01 16:00 main ERROR- Can't find category for keyword:531
2012-08-01 16:00 main ERROR- Can't find category for keyword:6553
2012-08-01 16:00 main ERROR- Can't find category for keyword:1197
2012-08-01 16:00 main ERROR- Can't find category for keyword:2071
2012-08-01 16:00 main ERROR- Can't find category for keyword:212
2012-08-01 16:00 main ERROR- Can't find category for keyword:15362
2012-08-01 16:00 main ERROR- Can't find category for keyword:1005
2012-08-01 16:00 main ERROR- Can't find category for keyword:2861
2012-08-01 16:00 main ERROR- Can't find category for keyword:6352
2012-08-01 16:00 main ERROR- Can't find category for keyword:3133
2012-08-01 16:00 main ERROR- Can't find category for keyword:3655
2012-08-01 16:00 main ERROR- Can't find category for keyword:778
2012-08-01 16:00 main ERROR- Can't find category for keyword:2892
2012-08-01 16:00 main ERROR- Can't find category for keyword:6308
2012-08-01 16:00 main ERROR- Can't find category for keyword:4305
2012-08-01 16:00 main ERROR- Can't find category for keyword:3037
2012-08-01 16:00 main ERROR- Can't find category for keyword:4991
2012-08-01 16:00 main ERROR- Can't find category for keyword:8260
2012-08-01 16:00 main ERROR- Can't find category for keyword:6629
2012-08-01 16:00 main ERROR- Can't find category for keyword:11123
2012-08-01 16:00 main ERROR- Can't find category for keyword:2280
2012-08-01 16:00 main ERROR- Can't find category for keyword:2452
2012-08-01 16:00 main ERROR- Can't find category for keyword:4243
2012-08-01 16:00 main ERROR- Can't find category for keyword:337
2012-08-01 16:00 main ERROR- Can't find category for keyword:1516
2012-08-01 16:00 main ERROR- Can't find category for keyword:2031
2012-08-01 16:00 main ERROR- Can't find category for keyword:2784
2012-08-01 16:00 main ERROR- Can't find category for keyword:2605
2012-08-01 16:00 main ERROR- Can't find category for keyword:22890
2012-08-01 16:00 main ERROR- Can't find category for keyword:15783
2012-08-01 16:00 main ERROR- Can't find category for keyword:3139
2012-08-01 16:00 main ERROR- Can't find category for keyword:17628
2012-08-01 16:00 main ERROR- Can't find category for keyword:2313
2012-08-01 16:00 main ERROR- Can't find category for keyword:2568
2012-08-01 16:00 main ERROR- Can't find category for keyword:4956
2012-08-01 16:00 main ERROR- Can't find category for keyword:10883
2012-08-01 16:00 main ERROR- Can't find category for keyword:258
2012-08-01 16:00 main ERROR- Can't find category for keyword:1309
